FROTA;ANO;MES;LAT;LON;EFF;LAGE;BRANCA;BANDOLIM
BRA;1998;1;0;25;24520;1600;100;2900
BRA;1998;1;0;30;155450;38500;1000;43900
BRA;1998;1;5;25;34300;15800;900;7900
BRA;1998;1;10;30;192666;8800;101800;7500
BRA;1998;1;10;35;109705;4100;71900;1500
BRA;1998;1;20;25;19380;400;1200;400
BRA;1998;2;0;30;96830;7800;400;22200
BRA;1998;2;5;25;27460;900;200;4900
BRA;1998;2;5;30;7820;700;300;300
BRA;1998;2;10;30;62368;2300;23200;1800
BRA;1998;2;10;35;71910;3100;40800;1200
BRA;1998;2;15;25;18900;1300;2200;200
BRA;1998;3;5;20;105300;1200;400;26100
BRA;1998;3;15;35;186646;5600;161200;700
BRA;1998;4;0;30;16800;27100;2900;11400
BRA;1998;4;10;35;18528;300;19400;500
BRA;1998;4;15;35;139528;700;107300;800
BRA;1998;5;0;35;4830;100;100;100
BRA;1998;5;30;45;34920;300;23200;800
BRA;1998;5;35;40;141868;2000;140800;300
BRA;1998;5;35;45;72390;1200;62600;200
BRA;1998;5;35;50;30200;100;22200;400
BRA;1998;6;15;25;30500;1800;700;200
BRA;1998;6;30;30;3720;200;3700;100
BRA;1998;6;30;45;215100;14000;184000;3900
BRA;1998;6;35;45;82630;10000;69900;1700
BRA;1998;6;35;50;7200;600;5200;100
BRA;1998;7;15;25;36200;1900;900;700
BRA;1998;7;25;45;11040;100;3200;100
BRA;1998;7;30;45;273670;15100;167700;5500
BRA;1998;7;30;50;117034;10800;139400;9400
BRA;1998;7;35;40;3840;100;2400;100
BRA;1998;7;35;45;62140;2300;38000;1800
BRA;1998;8;10;30;4500;100;200;400
BRA;1998;8;25;45;10560;600;13600;1000
BRA;1998;8;30;45;180036;29500;88500;31600
BRA;1998;8;30;50;200333;22200;166600;13200
BRA;1998;9;0;45;3600;200;900;100
BRA;1998;9;25;45;49440;1400;24300;600
BRA;1998;9;30;45;128165;7200;26200;2800
BRA;1998;9;30;50;19584;300;4400;400
BRA;1998;9;35;45;6304;300;1500;100
BRA;1998;10;0;0;3550;200;200;600
BRA;1998;10;0;20;15600;100;100;2100
BRA;1998;10;0;25;25359;800;2300;2200
BRA;1998;10;0;30;38913;2500;500;6600
BRA;1998;10;5;30;156272;8600;101300;8900
BRA;1998;10;10;30;27260;3300;8200;1800
BRA;1998;10;10;35;33540;2300;6500;5400
BRA;1998;10;15;35;84780;1700;62400;100
BRA;1998;10;20;35;62020;1000;22300;100
BRA;1998;11;0;25;115935;6100;800;25400
BRA;1998;11;0;30;134458;10700;2000;25500
BRA;1998;11;5;30;294009;8000;157400;13100
BRA;1998;11;10;15;2850;100;400;200
BRA;1998;11;10;30;270882;4200;109000;2800
BRA;1998;11;10;35;182603;5200;93400;700
BRA;1998;11;15;10;2700;200;400;100
BRA;1998;11;15;15;1800;200;100;100
BRA;1998;11;20;25;6500;400;500;100
BRA;1998;12;0;25;116693;4200;200;29700
BRA;1998;12;5;25;37980;600;1000;5900
BRA;1998;12;10;25;11800;200;3900;700
BRA;1998;12;10;30;430002;5100;170100;3300
BRA;1998;12;10;35;103480;1200;31500;800
BRA;1998;12;15;25;24200;2000;4400;900
BRA;1998;12;15;30;205760;2100;94000;300
BRA;1999;1;0;30;11405;8295,33;5064,83;324,1744
BRA;1999;1;20;40;15400;82,9533;57,95;7,3676
BRA;1999;2;0;30;49045;27291,6357;602,68;2298,6912
BRA;1999;2;0;35;12200;3069,2721;11,59;243,1308
BRA;1999;2;20;30;13200;497,7198;776,53;29,4704
BRA;1999;2;20;40;29400;165,9066;34,77;58,9408
BRA;1999;2;25;40;15700;497,7198;162,26;58,9408
BRA;1999;2;25;45;26156;1078,3929;139,08;243,1308
BRA;1999;3;0;30;68455;66030,8268;3210,43;3698,5352
BRA;1999;3;0;35;7232;6885,1239;11,59;412,5856
BRA;1999;3;20;25;14550;995,4396;197,03;7,3676
BRA;1999;3;20;30;21300;11696,4153;753,35;58,9408
BRA;1999;3;20;40;18100;248,8599;57,95;29,4704
BRA;1999;3;20;45;8070;248,8599;46,36;139,9844
BRA;1999;3;25;45;53501;2405,6457;220,21;567,3052
BRA;1999;4;0;25;14600;10949,8356;81,13;390,4828
BRA;1999;4;0;30;51716;28867,7484;2804,78;2070,2956
BRA;1999;4;0;35;8752;4479,4782;498,37;139,9844
BRA;1999;4;5;30;2000;248,8599;11,59;22,1028
BRA;1999;4;20;25;10516;1659,066;81,13;14,7352
BRA;1999;4;20;30;24311;10866,8823;370,88;125,2492
BRA;1999;4;20;40;35000;6802,1706;1135,82;58,9408
BRA;1999;5;0;25;3100;1161,3462;34,77;29,4704
BRA;1999;5;0;30;39900;27042,7758;683,81;832,5388
