Species	Code
Camponotus_sp. 	sp1
Crematogaster_sp.1	sp2
Crematogaster_sp.2	sp3
Crematogaster_sp.3	sp4
Crematogaster_sp.4	sp5
Cyphomyrmex_sp.	sp6
Gnamptogenys_sp. 	sp7
Hypoponera_sp.	sp8
Linepithema_sp.	sp9
Myrmelachista_sp. 	sp10
Odontomachus_sp.1	sp11
Odontomachus_sp.2	sp12
Pachycondyla_striata	sp13
Paratrechina_fulva	sp14
Paratrechina_longicornis	sp15
Paratrechina_sp. 	sp16
Pheidole_sp.1	sp17
Pheidole_sp.2	sp18
Pheidole_sp.3	sp19
Solenopsis_sp.1 	sp20
Solenopsis_sp.2	sp21
Solenopsis_sp.3	sp22
