CODIGO	Prodsoja
4100103	4213
4100202	3720
4100301	5500
4100400	4512
4100459	3805
4100509	3743
4100608	2425
4100707	4529
4100806	4750
4100905	4019
4101002	1133
4101051	5634
4101101	4796
4101150	3593
4101200	3745
4101309	2200
4101408	7000
4101507	6943
4101606	6577
4101655	8308
4101705	5548
4101804	4474
4101853	7290
4101903	5382
4102000	3953
4102109	4950
4102208	4059
4102307	3768
4102406	7440
4102505	3345
4102604	3966
4102703	2252
4102752	4984
4102802	6196
4102901	3967
4103008	5497
4103024	3471
4103040	7794
4103057	6000
4103107	6173
4103156	4462
4103206	5005
4103222	4416
4103305	9000
4103354	3723
4103370	5675
4103404	4361
4103453	3595
4103479	4585
4103503	3714
4103602	5792
4103701	3130
4103800	4988
4103909	6300
4103958	4271
4104006	4400
4104055	4586
4104105	7487
4104204	7800
4104253	6892
4104303	6990
4104402	5798
4104428	5720
4104451	6915
4104501	4726
4104600	5020
4104659	5180
4104709	9000
4104808	3782
4104907	5531
4105003	8500
4105102	8761
4105201	5328
4105300	4462
4105409	8049
4105508	6944
4105607	4075
4105706	3250
4105805	8137
4105904	4760
4106001	3268
4106100	4104
4106209	3194
4106308	7265
4106407	5469
4106456	4168
4106506	6302
4106555	6652
4106571	6188
4106605	3580
4106704	7339
4106803	3000
4106852	3405
4106902	5244
4107108	4757
4107124	4546
4107157	1761
4107207	6681
4107256	4800
4107306	7147
4107504	3600
4107520	3614
4107538	4460
4107546	5585
4107553	3036
4107603	4873
4107652	2929
4107702	8230
4107736	4375
4107751	5435
4107801	6890
4107850	2925
4107900	4875
4108007	2786
4108106	5270
4108205	4555
4108304	4641
4108320	7648
4108403	3882
4108452	3966
4108502	5301
4108551	7149
4108601	4038
4108650	5625
4108700	3800
4108809	5093
4108908	3839
4108957	4351
4109005	5273
4109104	4795
4109203	2421
4109302	4519
4109401	3998
4109500	3200
4109609	5055
4109658	8185
4109708	7300
4109757	1800
4109807	1900
4109906	8290
4110003	2952
4110052	8849
4110078	4455
4110102	3688
4110201	4000
4110300	5671
4110409	4692
4110508	5536
4110607	4500
4110656	2533
4110706	3969
4110805	7812
4110904	3741
4110953	3793
4111001	4655
4111100	4121
4111209	3040
4111258	5185
4111308	2867
4111407	3847
4111506	5842
4111555	4460
4111605	2000
4111704	6222
4111803	5408
4111902	3865
4112009	3635
4112108	2587
4112207	2092
4112306	4058
4112405	8300
4112504	5143
4112603	2850
4112702	2862
4112751	3703
4112801	5401
4112900	3365
4112959	4272
4113007	4176
4113106	3723
4113205	3683
4113254	3562
4113304	4099
4113403	4268
4113429	7000
4113452	2629
4113502	7431
4113601	3872
4113700	5151
4113734	5387
4113759	2218
4113809	3770
4113908	5124
4114005	6766
4114104	5205
4114203	3545
4114302	4778
4114351	4086
4114401	4207
4114500	5200
4114609	6840
4114708	4452
4114807	7570
4114906	6222
4115002	4458
4115101	3667
4115200	5027
4115309	7814
4115358	2023
4115408	4417
4115457	3692
4115507	9000
4115606	5000
4115705	6568
4115739	5583
4115754	5386
4115804	5226
4115853	5780
4115903	8500
4116000	4318
4116059	4816
4116109	4088
4116208	3236
4116307	4078
4116406	2571
4116505	2200
4116604	3474
4116703	3125
4116802	3096
4116901	3542
4116950	4572
4117008	3664
4117057	3235
4117107	4974
4117206	4085
4117214	7491
4117222	2438
4117255	3467
4117271	7760
4117297	4194
4117305	5178
4117404	5625
4117453	5548
4117503	5769
4117602	4045
4117701	4750
4117800	4019
4117909	7000
4118006	7500
4118105	4666
4118204	4789
4118303	4069
4118402	3470
4118451	2100
4118501	2805
4118600	3354
4118709	5769
4118808	8652
4118857	6977
4118907	6606
