Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
pr,15194004,0,"Monday, July 13, 2015 15:45:37 UTC",18.6315,-67.0030,2.3,60.00, 4,"Puerto Rico region"
pr,15194003,0,"Monday, July 13, 2015 15:30:41 UTC",18.3061,-67.5335,1.2,18.00, 3,"Mona Passage, Puerto Rico"
pr,15194002,0,"Monday, July 13, 2015 14:33:48 UTC",18.1284,-67.4312,1.7,8.00, 3,"Mona Passage, Puerto Rico"
pr,15194001,2,"Monday, July 13, 2015 12:54:41 UTC",19.0550,-64.1203,4.1,24.00,18,"Virgin Islands region"
pr,15194000,0,"Monday, July 13, 2015 06:51:47 UTC",19.1665,-64.1669,3.3,24.00, 9,"Virgin Islands region"
pr,15193006,0,"Sunday, July 12, 2015 21:58:44 UTC",18.9608,-68.1235,3.6,130.00,13,"Dominican Republic region"
pr,15193005,0,"Sunday, July 12, 2015 13:13:08 UTC",18.1047,-67.3953,3.1,13.00, 5,"Mona Passage, Puerto Rico"
pr,15193004,0,"Sunday, July 12, 2015 06:21:50 UTC",18.5750,-67.1193,2.9,87.00, 9,"Puerto Rico region"
pr,15193003,0,"Sunday, July 12, 2015 05:55:01 UTC",19.2875,-65.1920,3.3,11.00, 8,"Puerto Rico region"
pr,15193001,0,"Sunday, July 12, 2015 03:02:15 UTC",18.3710,-66.1490,2.8,127.00,15,"San Juan urban area, Puerto Rico"
pr,15193002,0,"Sunday, July 12, 2015 02:14:04 UTC",19.0198,-65.2003,2.8,31.00, 6,"Puerto Rico region"
pr,15193000,1,"Sunday, July 12, 2015 01:36:21 UTC",19.9335,-63.9892,3.7,76.00,15,"north of the Virgin Islands"
pr,15192003,0,"Saturday, July 11, 2015 10:56:49 UTC",19.5081,-65.6427,3.3,85.00, 4,"Puerto Rico region"
pr,15192002,0,"Saturday, July 11, 2015 09:58:51 UTC",18.9179,-64.9840,2.9,28.00, 5,"Virgin Islands region"
pr,15192001,0,"Saturday, July 11, 2015 08:48:12 UTC",18.9944,-65.3510,3.1,16.00,15,"Puerto Rico region"
pr,15192000,0,"Saturday, July 11, 2015 04:45:24 UTC",18.1795,-67.0787,2.1,21.00, 8,"Puerto Rico"
pr,15191003,0,"Friday, July 10, 2015 14:25:05 UTC",18.1142,-65.8154,1.4,0.00, 3,"Puerto Rico"
pr,15191002,0,"Friday, July 10, 2015 09:47:29 UTC",18.0995,-66.7605,1.7,22.00, 3,"Puerto Rico"
pr,15191001,0,"Friday, July 10, 2015 09:17:59 UTC",18.0995,-66.7594,1.5,23.00, 3,"Puerto Rico"
pr,15191000,0,"Friday, July 10, 2015 07:10:52 UTC",18.8579,-64.3525,3.4,54.00, 8,"Virgin Islands region"
at,00nr97p8,1,"Friday, July 10, 2015 04:12:44 UTC",-9.3000,158.4000,7.0,20.00,24,"Solomon Islands"
pr,15190002,0,"Thursday, July  9, 2015 16:02:02 UTC",18.4605,-64.6628,2.6,107.00, 6,"Virgin Islands region"
pr,15190001,0,"Thursday, July  9, 2015 09:28:40 UTC",18.0648,-67.2230,1.9,18.00, 6,"Mona Passage, Puerto Rico"
pr,15190000,0,"Thursday, July  9, 2015 04:41:37 UTC",18.1525,-66.8920,2.1,16.00, 9,"Puerto Rico"
pr,15189009,0,"Wednesday, July  8, 2015 17:20:22 UTC",17.8351,-66.8835,1.7,13.00, 4,"Puerto Rico region"
pr,15189008,0,"Wednesday, July  8, 2015 15:25:31 UTC",18.1023,-68.5895,3.3,126.00, 6,"Dominican Republic region"
pr,15189007,0,"Wednesday, July  8, 2015 14:59:22 UTC",17.9599,-65.4319,2.1,18.00, 4,"Puerto Rico region"
pr,15189006,0,"Wednesday, July  8, 2015 14:26:19 UTC",17.9591,-67.1635,1.6,11.00, 3,"Puerto Rico region"
pr,15189005,0,"Wednesday, July  8, 2015 13:18:41 UTC",18.1784,-67.7547,2.4,31.00, 3,"Mona Passage, Puerto Rico"
pr,15189004,0,"Wednesday, July  8, 2015 11:47:15 UTC",17.8073,-66.8137,2.0,11.00, 4,"Puerto Rico region"
pr,15189003,0,"Wednesday, July  8, 2015 11:30:58 UTC",18.8325,-64.4220,1.9,43.00, 3,"Virgin Islands region"
pr,15189002,0,"Wednesday, July  8, 2015 09:12:49 UTC",18.5587,-64.8503,2.7,85.00, 6,"Virgin Islands region"
pr,15189001,0,"Wednesday, July  8, 2015 08:38:55 UTC",17.8215,-66.3099,2.5,5.00,12,"Puerto Rico region"
pr,15189000,0,"Wednesday, July  8, 2015 07:10:43 UTC",19.0067,-64.7508,3.2,52.00, 8,"Virgin Islands region"
